Week,Away,Away Score,Home,Home Score
14,Raiders,13,Buccaneers,28
14,Seahawks,30,Cardinals,18
14,Bills,42,Rams,44
14,Bears,13,49ers,38
14,Chargers,17,Chiefs,19
14,Bengals,27,Cowboys,20
15,Rams,12,49ers,6
15,Chiefs,21,Browns,7
15,Bengals,37,Titans,27
15,Commanders,20,Saints,19
15,Ravens,35,Giants,14
15,Cowboys,30,Panthers,14
15,Jets,32,Jaguars,25
15,Dolphins,12,Texans,20
15,Colts,13,Broncos,31
15,Bills,48,Lions,42
15,Steelers,13,Eagles,27
15,Patriots,17,Cardinals,30
15,Buccaneers,40,Chargers,17
15,Packers,30,Seahawks,13
15,Bears,12,Vikings,30
15,Falcons,15,Raiders,9
16,Broncos,27,Chargers,34
16,Texans,19,Chiefs,27
16,Steelers,17,Ravens,34
16,Giants,7,Falcons,34
16,Lions,34,Bears,17
16,Browns,6,Bengals,24
16,Titans,30,Colts,38
16,Rams,19,Jets,9
16,Eagles,33,Commanders,36
16,Cardinals,30,Panthers,36
16,Vikings,27,Seahawks,24
16,Patriots,21,Bills,24
16,Jaguars,14,Raiders,19
16,49ers,17,Dolphins,29
16,Buccaneers,24,Cowboys,26
16,Saints,0,Packers,34
17,Chiefs,29,Steelers,10
17,Ravens,31,Texans,2
17,Seahawks,6,Bears,3
17,Chargers,40,Patriots,7
17,Broncos,24,Bengals,30
17,Cardinals,9,Rams,13
17,Jets,14,Bills,40
17,Raiders,25,Saints,10
17,Colts,33,Giants,45
17,Cowboys,7,Eagles,41
17,Panthers,14,Buccaneers,48
17,Titans,13,Jaguars,20
17,Dolphins,20,Browns,3
17,Packers,25,Vikings,27
17,Falcons,24,Commanders,30
17,Lions,40,49ers,34
18,Browns,10,Ravens,35
18,Bengals,19,Steelers,17
18,Panthers,44,Falcons,38
18,Commanders,23,Cowboys,19
18,Bears,24,Packers,22
18,Texans,23,Titans,14
18,Jaguars,23,Colts,26
18,Bills,16,Patriots,23
18,Giants,13,Eagles,20
18,Saints,19,Buccaneers,27
18,Chiefs,0,Broncos,38
18,Chargers,34,Raiders,20
18,Seahawks,30,Rams,25
18,Dolphins,20,Jets,32
18,49ers,24,Cardinals,47
18,Vikings,9,Lions,31
